source,author,title,description,url,urlToImage,publishedAt,content,source_name,extracted_at
"{'id': None, 'name': 'Wnd.com'}","Philip Wegmann, Real Clear Wire",Trump White House warns defense contractors,'There'll be consequences',https://www.wnd.com/2026/02/trump-white-house-warns-defense-contractors/,https://www.wnd.com/wp-content/uploads/2026/01/warplanes-stop-halt-red-light-military-defense-jpg.jpg,2026-02-07 23:34:11+00:00,"One afternoon in January, President Trump sent the stocks of the military-industrial complex stumbling when he complained that defense contractors were paying dividends too generously, buying back th… [+9996 chars]",Wnd.com,2026-02-09 00:37:26.805722
"{'id': 'abc-news', 'name': 'ABC News'}",JOSH FUNK AP business writer,Hims & Hers drops plan for knockoff of Novo Nordisk's new Wegovy weight loss pill,Telehealth company Hims & Hers dropped its plan to offer a knockoff version of the weight-loss pill Wegovy on Saturday — two days after it announced the new drug,https://abcnews.go.com/Business/wireStory/hims-drops-plan-knockoff-novo-nordisks-new-wegovy-129955463,https://i.abcnewsfe.com/a/59a868d5-37fc-4579-8f4b-b021a8375ce0/wirestory_74eb9395c44acd8bb1e12350cb32c146_16x9.jpg?w=1600,2026-02-07 23:33:44+00:00,Telehealth company Hims &amp; Hers dropped its plan to offer a knockoff version of the weight-loss pill Wegovy on Saturday two days after it announced the new drug and one day after the Food and Drug… [+2828 chars],ABC News,2026-02-09 00:37:26.805722
"{'id': None, 'name': 'Yahoo Entertainment'}",Ananya Gairola,"Jim Cramer On Amazon Stock Slip: Not Saying Downside Overdone, 'I Figure Tomorrow's Pretty Ugly'","On Thursday, Amazon.com, Inc. (NASDAQ:AMZN) shares slid sharply in after-hours trading despite a fourth-quarter revenue beat. Amazon Beats Q4 Revenue, Guides...",https://finance.yahoo.com/news/jim-cramer-amazon-stock-slip-233145336.html,https://s.yimg.com/os/en/Benzinga/474a3674fae6ba4774926a9c199e2d69,2026-02-07 23:31:45+00:00,"On Thursday, Amazon.com, Inc. (NASDAQ:AMZN) shares slid sharply in after-hours trading despite a fourth-quarter revenue beat.
Amazon reported fourth-quarter net sales of $213.39 billion, up 14% year… [+3574 chars]",Yahoo Entertainment,2026-02-09 00:37:26.805722
"{'id': None, 'name': 'WEAR'}",Hannah James,Trump funding bill includes $3M for South Navy Boulevard upgrades near NAS Pensacola,"PENSCOLA, Fla. -- Earlier this week -- president donald trump signed a 1-point-two-trillion-dollar funding package that will keep most of the government funded",https://weartv.com/news/local/trump-funding-bill-includes-3m-for-south-navy-boulevard-upgrades-near-nas-pensacola,https://weartv.com/resources/media2/16x9/1086/1320/221x0/90/7a219b3b-bfab-4db9-bbd1-aed2ac013b42-Screenshot20260207172623.png,2026-02-07 23:31:16+00:00,"PENSACOLA, Fla. -- Earlier this week, President Donald Trump signed a $1.2 trillion funding package that will keep most of the government funded through September but also secured $3 million for Sout… [+2942 chars]",WEAR,2026-02-09 00:37:26.805722
"{'id': None, 'name': 'UploadVR'}",James Tocchio,Glassbreakers: Champions of Moss & Clay Hunt VR Are Quest's Horizon+ Monthly Games This February,"Here are the Meta Horizon+ Monthly Games for February 2026, including one of the best strategy games on the market, Glassbreakers: Champions of Moss.",https://www.uploadvr.com/glassbreakers-champions-of-moss-clay-hunt-vr-are-quests-horizon-monthly-games-this-february/,https://www.uploadvr.com/content/images/size/w1200/2026/02/uploadvr-feb-monthly-games.jpg,2026-02-07 23:31:12+00:00,"Glassbreakers: Champions of Moss and Clay Hunt VR are this February's Horizon+ monthly games on Quest.
February 2026 brings a number of new games to the Horizon+ Monthly Games Catalog, including one… [+4036 chars]",UploadVR,2026-02-09 00:37:26.805722
"{'id': None, 'name': 'Digitimes'}",Jingyue Hsiao,GlobalFoundries reinvent wafer services by integrating IP to meet evolving market demands,The traditional wafer foundry model is transforming as leading foundries increasingly incorporate intellectual property (IP) into mature technology nodes to address economic pressures and shifting customer needs. Nearly four decades after TSMC founder Morris …,https://www.digitimes.com/news/a20260205PD217/ip-wafer-globalfoundries-market-design.html,https://img.digitimes.com/newsshow/20260205pd217_files/4_b.jpg,2026-02-07 23:30:26+00:00,"Save my User ID and Password
Some subscribers prefer to save their log-in information so they do not have to enter their User ID and Password each time they visit the site. To activate this function… [+307 chars]",Digitimes,2026-02-09 00:37:26.805722
"{'id': None, 'name': 'Digitimes'}",DIGITIMES,Memory shortage and Windows 11 refresh reshape Europe's 2026 PC market outlook,"Europe's PC market is entering a period of renewed uncertainty. The effects of the Windows 11 refresh cycle are colliding with the memory supply crisis, fundamentally altering shipment expectations for 2026.",https://www.digitimes.com/news/a20260206VL212/pc-europe-market-2026-windows-11.html,https://img.digitimes.com/newsshow/20260206vl212_files/4_2b.jpg,2026-02-07 23:30:11+00:00,"Save my User ID and Password
Some subscribers prefer to save their log-in information so they do not have to enter their User ID and Password each time they visit the site. To activate this function… [+307 chars]",Digitimes,2026-02-09 00:37:26.805722
"{'id': None, 'name': 'New York Post'}",Sean Treppedi,"bet365 bonus code NYPBET: Bet $10, get $100 in bonus bets for Super Bowl ‘Bet Boosts’",Bet $10 with bet365 and get $100 in bonus bets win or lose for Bet Boosts on the Big Game.,https://nypost.com/2026/02/07/betting/bet365-bonus-code-nypbet-bet-10-get-100-in-bonus-bets-for-patriots-vs-seahawks-bet-boosts/,https://nypost.com/wp-content/uploads/sites/2/2026/02/bet365-2000x1333-1.png?w=1200,2026-02-07 23:30:00+00:00,"Gambling content 21+. The New York Post may receive an affiliate commission if you sign up through our links. Read our editorial standards for more information.
We’re under 24 hours until kickoff fo… [+2831 chars]",New York Post,2026-02-09 00:37:26.805722
"{'id': None, 'name': 'Digitimes'}",DIGITIMES,Shanghai's AI chip boom powers China's homegrown computing future,"In 2025, Shanghai's domestic AI chip sector surged alongside capital market activity. MetaX reported CNY740 million (US$106 million) in revenue in 2024, rising to CNY915 million in the first half of 2025. The company listed on the STAR Market in December, rai…",https://www.digitimes.com/news/a20260205VL222/shanghai-2025-ai-chip-chips-revenue.html,https://img.digitimes.com/newsshow/20260205vl222_files/2_b.jpg,2026-02-07 23:28:27+00:00,"Save my User ID and Password
Some subscribers prefer to save their log-in information so they do not have to enter their User ID and Password each time they visit the site. To activate this function… [+307 chars]",Digitimes,2026-02-09 00:37:26.805722
"{'id': 'cbc-news', 'name': 'CBC News'}",,"Protests held in Gatineau, other Quebec cities over immigration program's abolition","Hundreds of people gathered for protests in seven cities across the province — including Montreal, Quebec City and Gatineau — to speak out against the Quebec government's decision to scrap a popular immigration program.",https://www.cbc.ca/news/canada/montreal/peq-province-wide-protest-9.7079287,"https://i.cbc.ca/ais/cd1a8438-bc9b-42fe-8366-62cc70581250,1770503436606/full/max/0/default.jpg?im=Crop%2Crect%3D%280%2C301%2C3500%2C1968%29%3BResize%3D620",2026-02-07 23:27:14+00:00,"Hundreds of people gathered for protests in seven cities across the province, including Montreal and Quebec City, speaking out against the Quebec government's decision to scrap a popular immigration … [+4252 chars]",CBC News,2026-02-09 00:37:26.805722
